firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Landwirtschaftsbetrieb Tanja Heuer,Steendamm 5,29456,Hitzacker,POINT (53.1847202 10.93306735),05858-264,,,,,,,,,,
Hof Bosse,Zur Worth 9,29549,Bad Bevensen,,,,,,,,,,,,
Landwirtschaftsbetrieb Karl Harleß,Mühlenstr. 13,29593,Schwienau,POINT (52.9838407 10.372362),058229966,,,,,,,,,,
Landwirtschaftsbetrieb Gisela Heinrichs,Brauel Nr. 2,29582,Hanstedt,POINT (53.0417372 10.3503871),058229950,,,,,,,,,,
Landwirtschaftsbetrieb Thorsten Riggert,Flachskamp 6,29525,Uelzen,POINT (52.9361553 10.4872289),,,,,,,,,,,
Fehlhaber GbR,Am Eichenhain 6,29594,Soltendieck,POINT (52.88053 10.80207057687776),05874261,,,,,,,,,,
Obsthof Schmoldt,Stellenfleth 40,21732,Krummendeich,POINT (53.830959 9.2306801),04779377,< 100,,< 50,,,,< 50,,,
Landwirtschaftsbetrieb W. Steneberg,OT Oetzendorf 3,29599,Weste,,05805202,,,,,,,,,,
BG Kaiser GbR,Untere Dorfstr. 1,29581,Gerdau-Holthusen II,POINT (52.9564163 10.4305149),,< 100,,< 50,< 50,,,,,,
Landwirtschaftsbetrieb Marquardt ,Avendorf Sundstraat 20,23769,Fehmarn,,04371-3291,< 500,,,,,,,,,
Dahmerhof,Seestraße 26,23747,Dahme,POINT (52.2920033 13.6833755),04364231,,,,,,,,,,
Landwirtschaftsbetrieb Carsten Godt,Sahna 1,23779,Neukirchen,POINT (54.3144932 11.069585494408305),04365362,< 500,,,,,,,,,
Landwirtschaftsbetrieb Uwe Beythien,Häven Nr. 6,23626,Ratekau/Häven,POINT (53.9795982 10.8302492),045022824,< 100,,< 50,< 50,,,,,,
Landwirtschaftsbetrieb Lafrentz,Bisdorf 6,23759,Fehmarn,POINT (54.4626704 11.1417515),043713196,< 500,,< 50,,< 10,,< 5,,,
Landwirtschaft / Ferienhof Witt,Alte Dorfstraße 12,23769,Sulsdorf / Fehmarn,POINT (54.4587409 11.0431342),04372-1377,< 500,,< 50,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Kroghof,Kroghof,24306,Börnsdorf,,04527215,< 500,,< 100,,,,,,,
Landwirtschaftsbetrieb Hogreve,Hufenkoppel 38,23623,Holstendorf,POINT (54.0394394 10.6019182),045254783,,,,,,,,,,
Ferienhof Friedrichthal,Friedrichsthal 1,23758,Giddendorf,POINT (54.3156343 10.9232833),043617233,< 500,,,,,,,,,
Landwirtschaftsbetrieb Höper-Rauert,Am Dorfbrunnen 14,23758,Sulsdorf,POINT (54.3411007 10.9536041),,,,,,,,,,,
Bauernhof Höpner,Vadersdorf 31,23769,Fehmarn,POINT (54.48388625 11.137047527380952),04371-3226,< 500,,,,,,,,,
Gut Bürau,Gut Bürau,23779,Neukirchen,POINT (54.3162149 11.000987156655828),043659795808,< 500,,,,,,,,,
Hof Dressel,Steindamm 10,23623,Ahrensbök,POINT (53.9924225 10.5777328),045251742,< 500,,< 50,,,,,,,
Landwirtschaftsbetrieb Bohlmann,Bollbrügg 31,23570,Travemünde,POINT (53.9687483 10.840760430645162),04502889360,< 500,,,< 50,,,,,,
Milchhof Sebent GbR,Alte Hofstraße 4,23738,Sebent,POINT (54.2613162 10.8949323),043614237,,,,,,,,,,
Landwirt Eckhard Stille,Obersteenrade 16,23684,Pönitz,POINT (54.0408513 10.6304292),045249395,,,,,,,,,,
Evershof Halske,Kowitzberg 3,23570,Travemünde,POINT (53.9746199 10.8709826),0450277345,,,,,,,,,,
Landwirtschaftsbetrieb Johannes Bruhn,Am Steinkamp 27,23769,Burg Fehmarn,POINT (54.4447871 11.191318531884118),043716699,,,,,,,,,,
Landwirtschaftsbetrieb Volker Friedrichsen,Bei der Kirche,23738,Riepsdorf,POINT (54.2290243 10.9709023),043631570,< 500,,,,,,,,,
Landwirtschaftsbetrieb Hagemann-Thomas,Lübschestraße 30,23777,Heringsdorf,POINT (54.3009249 11.0105421),043651256,,,,,,,,,,
Landwirtschaftsbetrieb Dirk Clausen,Dorfstraße 2,23777,Klötzin,POINT (54.3023682 10.9882033),04365204,,,,,,,,,,
Betriebsgemeinschaft Grünhaus,Gut Grünhaus,23714,Kirchnüchel,,045232814,< 2000,,< 50,,,,,,,
Landwirtschaftsbetrieb C.-P. Pries,An der Rundscheune 4a,23758,Bollbrügge,POINT (54.3307937 10.9469279),043618175,< 500,,,,,,,,,
Landwirtschaftsbetrieb Jan-Peter Höper,Ernsthausen 1,23758,Oldenburg/Holstein,,043618729,,,,,,,,,,
Hessische Hausstiftung,Güterverwaltung,24321,Panker,,043817071,,,,,,,,,,
Landwirtschaftsbetrieb Jan Stobbe,Gruberweg 3,23749,Grube,POINT (54.2161404 11.034243138214727),043641384,< 100,,< 50,,,,,,,
Landwirtschaftlicher Betrieb Klaus Hintz,Hohlegrufter Str. 2,23813,Nehms,POINT (54.0084453 10.3750377),04555882,,,,,,,,,,
Wariner Pflanzenbau eG,Ausbau 7,19417,Trams,POINT (53.8168065 11.635854234646537),0384846630,> 2000,,< 500,< 50,,,,,,
Hof Breitenstein,Breitenstein 1,24329,Grebin,POINT (54.2041689 10.5242905),04383444,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschaftsbetrieb Krumsiek,Ostseering 12,24257,Hohenfelde,POINT (54.37369935 10.524330141288088),043851750,< 500,,,,,,,,,
Gutsverwaltung Basthorst,Auf dem Gut 3,21493,Basthorst,POINT (53.5811442 10.470160492461808),0415982520,< 500,,,,,,,,,
Gut Löhrstorff,Gut Löhrstorff,23779,Neukirchen,,04365397,,,,,,,,,,
Gut Farve,Gut Farve 1,23758,Wangels,POINT (54.2866279 10.7907495),04361-626440,< 2000,,,< 500,,,,,,
Carstens GbR,Dorfstraße 1,24799,Friedrichsholm,POINT (54.3043847 9.4312257),04339264,< 100,,< 500,,,,,,,
Landwirtschaftsbetrieb Krummbek,Dorfstraße 5,23730,Schashagen,POINT (54.1315264 10.8558707),04564-1033,< 500,,< 50,< 50,,,,,,
Milchgut Plau GmbH &amp; Co.KG,Hopfensoll 4,19395,Plau am See,POINT (53.4709878 12.262231924786537),038735-44322,,,,,,,,,,
Stodian GbR,Westerstraße 7,24994,Weesby,POINT (54.8300338 9.1487674),04605353,< 500,,< 50,< 50,,,,,,
Lindemann GbR,Fehrenwohlder Weg 5,23827,Krems II,POINT (53.9916447 10.334706),0455798274,,,,,,,,,,
Landwirtschaft Mörixmann GbR,Dratumer Straße 9,49326,Melle,POINT (52.2089458 8.2427514),05409989456,< 100,,,,,,,,,
LWB Kolbe,Ortstraße 15,07907,Dittersdorf,,03664822324, < 50,,< 50,< 50,,,,,,
Jens und Melf Carstensen GbR,Westerdorf 22,25850,Behrendorf,POINT (54.5621436 9.2181282),04843696, < 50,,< 100,,,,,,,
Gutsverwaltung Perdoel,Perdoeler Mühle 3,24601,Belau,,04326-1333,< 2000,,,< 500,,,,,,
Eichenhof,Eichenhof 7,24582,Hoffeld,POINT (54.1833461 10.0070455),043224050,,,,,,,,,,
Gutsverwaltung Booth,Zum Krähenberg 9,19209,Renzow,POINT (53.6274465 11.1441355),03887421500,< 500,,< 100,< 500,,,,,,
Thießen &amp; Sohn Barlt GbR,Bundesstrasse 53,25719,Barlt,POINT (54.0119606 9.0297331),04857381,< 500,,< 100,,,,,,,
Gutsverwaltung Kiekbusch,Kiekbusch 2,23715,Bosau,POINT (54.0717435 10.5454543),04527293,< 500,,,,,,,,,
Landwirtschaftsbetrieb Kröger Donn,Donn 28,25704,Elpersbüttel,POINT (54.0709645 9.0629219),048329189, < 50,,< 50,,,,,,,
Landwirtschaftsbetrieb Jonas Höpner,Vadersdorf 45,23769,Fehmarn,POINT (54.48592075 11.137330633740678),,,,,,,,,,,
Landwirtschaftsbetrieb Fock,Dorfstr. 15,24576,Hagen,POINT (53.948416699999996 9.824375170135855),041929533, < 50,,< 50,< 50,,,,,,
Landwirtschaftsbetrieb Dietmar Bumann,Tannenhof 11,23743,Grömitz,POINT (54.1542691 10.915576827291847),0456225230,< 100,,,,,,,,,
Janssens Bauernhof,Am Brink 5,23909,Mechow,POINT (53.7173972 10.8038396),045417103,< 500,,,,,,,,,
Landwirtschaftsbetrieb Rathmann,Wenkendorf 1,23769,Fehmarn,POINT (54.5103249 11.118002692644485),04372388,< 500,,,,,,,,,
Landwirtschaftsbetrieb Olaf Jortzik,Norderfeld 11,25862,Goldelund,POINT (54.6825959 9.1059574),046731002,< 100,,< 50,,,,,,,
Nordsaat Agrar GmbH,Gutshaus 1,18569,Schaprode,POINT (54.5268277 13.2201225),043845928010,< 2000,,,,,,,,,
Landwirtschaftsbetrieb Heiko Bode,Im Winkel 2,38836,Huy ,POINT (52.0306752 10.8915201),039422-60651,,,,,,,,,,
Landwirtschaftsbetrieb Torben Dircks,Wöbs 1,23715,Wöbs,POINT (54.0780507 10.4527422),04527972136,,,,,,,,,,
Landwirtschaftlicher Betrieb Margarethenhof,Frankfurter Straße 16,61184,Karben,POINT (50.23188 8.7444193),06039-92460,< 500,,,,,,,,,
Landwirtschaftsbetrieb Hans Ulrich Martensen &amp; Daniel Martensen,Ziegelei 3,25821,Sönnebüll,POINT (54.6276468 8.994247),04671930643,< 100,,< 50,,,,,,,
Betrieb Detlef,Ausstraße 1,23769,"Fehmarn, Kopendorf",,04372-221,< 500,,< 50,,,,,,,
Landwirtschaftlicher Betrieb Claus Behrens,Schwienkuhlen 2,23623,Ahrensbök/Schwienkuhlen,POINT (54.0638413 10.580803),04525494842,,,,,,,,,,
Nöhren Hof,Im Jägerwinkel 2,31275,Lehrte,,051322528, < 50,,,,< 5,,< 5,,,
Wiesenhof Hansen Jerrishoe,Wiesenweg 1,24963,Jerrishoe,POINT (54.6516264 9.3612409),04638423,< 500,,< 100,,,,,,,
Landwirtschaftlicher Betrieb Glindemann,Im Dorfe 5,38173,Sickte/Volzum,POINT (52.1948955 10.657990752673971),0533394962,< 500,,< 50,,,,,,,
Gutsverwaltung Bardenhagen,Bardenhagener Str. 22,29553,Bienenbüttel,POINT (53.1442112 10.4078225),05823204,,,,,,,,,,
Spargelhof Hay,Hufenweg 15,23758,Kembs,POINT (54.34680155 10.91824433915185),043621356,,,,,,,,,,
Müller-Rahmberg-Hof,Sahrensdorf 10,23769,Fehmarn,POINT (54.42840805 11.227287746801274),04371503912,,,,,,,,,,
Gutsverwaltung Löhndorf,Löhndorf 2,24601,Wankendorf,POINT (54.1458012 10.1691737),043262894926,< 2000,,,,,,,,,
agrar GmbH Seega-Wippertal,Göllinger Straße 165,06567,Kyffhäuserland,POINT (51.3299027 11.0351731),034671-79846,,,,,,,,,,
Ferienhof Juergen Rauert,Dorfstraße 20,23769,Fehmarn,POINT (54.46192105 11.244827909734903),04371-4366,< 500,,< 50,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Zarpener Hof KG,Zarpener Hof 1,23619,Zarpen,,045338169,< 2000,,< 50,< 50,,,,,,
Schloh's Spargelhof GmbH &amp; Co. KG,Viehweg 7,27367,Hellwege,POINT (53.0766689 9.2533618),04264-84222,,,,< 50,< 50,,,,,
Landwirtschaftsbetrieb Stefan Löhr,Am Nachtbleek 1,38173,Volzum,POINT (52.1977208 10.658318917903065),0533390880,< 100,,,,,,,,,
Hessische Hausstiftung Gut Osterrade,Dosenrade 4,24796,Bovenau,POINT (54.3470703 9.8378927),043817071,< 2000,,,,,,,,,
Landwirtschaftsbetrieb Volker Modi,Oetzfelder Str. 23,29582,Hanstedt I,POINT (53.04815645 10.382545443810512),058222720,< 100,,< 50,,,,,,,
Gut Düttebüll,Gut Düttebüll 1,24395,Kronsgaard,POINT (54.747473600000006 9.963546931583572),046432211,< 500,,,,,,,,,
Landwirtschaftsbetrieb Thun &amp; Sohn,Dorfstraße 7,24594,Tappendorf,POINT (54.103474250000005 9.685742708215539),04871-3203,< 500,,< 50,< 50,,,,,,
Jochen Meyer,Cantrup 1,27251,Neuenkirchen,POINT (52.7648081 8.7351971),04245441,< 100,,,,,,,,,
Landwirtschaftsbetrieb Reiner Holfert,Brook 4,24640,Schmalfeld,POINT (53.87308 10.0111515),041914489,< 100,,< 100,,,,,,,
Gut Gross Voigtshagen,Am Hof 40,23942,Groß Voigtshagen,POINT (53.9209629 11.0354096),03882686670,< 500,,< 50,< 500,,,,,,
Hof von der Ohe,Haarstorf 2,29587,Natendorf,POINT (53.0728075 10.4444123),058222370,,,,,,,,,,
Landwirtschaftsbetrieb Friedrich Helmke,Marktplatz 7,29562,Suhlendorf,POINT (52.9262587 10.7691461),05820288,,,,,,,,,,
Gebrüder Hansen GbR,Maasbüllhof 1,24975,Maasbüll,POINT (54.77583475 9.530468650000001),,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Betriebsgemeinschaft Gersdorfer Burg GbR,Gersdorfer Burg 6,06484,Quedlinburg,POINT (51.764759 11.2116122),0394651388,,,,,,,,,,
Hörn-Sau KG,Krücken 2,24576,Weddelbrook,POINT (53.9096465 9.8041124),04192814591, < 50,,< 50,,,,,< 10,,
Landwirtschaftsbetrieb Kai Dusenschön,Kätnerweg 5,21465,Reinbek,POINT (53.5299368 10.25979654875061),0407278201,< 500,,< 50,< 100,,,,,,
Hof Dreisprung,Beyersweg 6,25926,Westre,POINT (54.8617068 8.9910072),04666989292,< 100,,< 100,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Meiners &amp; Hobel GbR,Dorfstraße 1,18246,Horst,POINT (53.8787639 11.97783785),038461-2845,< 2000,,< 50,,,,,,,
Landwirtschaftsbetrieb Behnsen,Ostermunzeler Straße 9,30890,Baringshausen,,05035-1877490,,,,,,,,,,
Hof Thorn,Ovendorfer Str. 25,23570,Lübeck-Ivendorf,POINT (53.9382462 10.840101),045022208,,,,,,,,,,
Landwirtschaftsbetrieb Ulrich Löhr,Leipziger Straße 1,38321,Denkte,POINT (52.1453694 10.60756332080511),0533163082,< 500,,< 50,< 50,,,,,,
Landwirtschaftsbetrieb Brandes,Lange Straße 10,37586,Dassel,POINT (51.8035501 9.7357584),05562930413,< 500,,,< 50,,,,,,
Landwirtschaftlicher Betrieb Peter Rüder,Mühlenberg 33,23827,Garbek,POINT (54.0056502 10.4134687),045591206,,,,,,,,,,
Landwirtschaftsbetrieb Mester,Zur Moorburg 13,49637,Menslage,POINT (52.6930986 7.8055496),05437725,< 100,,< 50,,,,,,,
Landwirtschaftlicher Betrieb Rüdiger Beythien,Ringstraße 11 Grebenhagen,23623,Ahrensbök,POINT (53.9676145 10.568271),045251326,,,,,,,,,,
Landwirtschaftsbetrieb Tobias Göckeritz,Zum Weidegut 10,31634,Steimbke,POINT (52.6848336 9.3451379),05026236, < 50,,< 50,< 50,,,,,,
Alt Bokhorst,Alt Bokhorst,24637,Schillsdorf,,04394341,< 500,,,< 100,< 5,,,,,
Urlaub- und Früchtehof Schmörholm,Hof Schmörholm 1,25917,Leck,,046622580,< 100,,< 50,,,,< 5,,,
Agrargenossenschaft Ballhausen e.G.,Waidmühlenfeld 1,99955,Ballhausen,POINT (51.1559267 10.8807485),036041333060,,,,,,,,,,
Hof Pfaffendorf,Pfaffendorferstraße 1d,06388,Südliches Anhalt / ,POINT (51.6986 11.909245),034976-3610,< 500,,,,,,,,,
Nordbruch GbR,Feldweg 1,28816,Stuhr-Moordeich,POINT (53.02634715 8.721748),04215-659302,< 100,,< 100,,,,,,,
Hans Heinrich Wohlers,Hauptstrasse 2,21644,Sauensiek,POINT (53.3798074 9.596206),04169245,< 500,,< 50,,,,,,,
Ziemer,Wiesenstraße 17,27211,Bassum-Bramstedt,POINT (52.8753695 8.7847242),042412059,,,,,,,,,,
Boekhoff,Butterstieg 4,23820,Reinsbek,POINT (53.9313201 10.5329537),04506892280,,,,,,,,,,
Kappel GbR,Hauptstraße 46,27313,Dörverden-Westen,POINT (52.8440952 9.3000911),04239-1591,< 100,,,,,,,,,
Alexander von Behr,Schloßplatz 1,27318,Hoya,POINT (52.8064881 9.1464353),042512351,,,,,,,,,,
Detmer Rippe,Syker Straße 139,27321,Thedinghausen,POINT (52.9615032 9.0202266),04204685659,,,,,,,,,,
Bernd Meyer,Zu den Eichen 1,27243,Klosterseelte,POINT (52.92965945 8.671534917151305),04244965622,< 500,,,,,,,,,
Reiner Döhrmann,Steimker Weg 1,27330,Asendorf,POINT (52.7628752 9.0223445),0425392087,,,,,,,,,,
Hof Menzel,Am Schützenhaus 2,31592,Stolzenau,POINT (52.5339447 9.0723425),057612192,< 100,,,,,,,,,
Schelmenhäuser Hofgut,Schelmenhäuserhof 1,60388,Frankfurt am Main,POINT (50.17241465 8.78258398108864),0610921041,< 500,,,,< 50,"<span class=""textformatter-list"">Photovoltaik</span>",< 10,,,
Hammerich,Steenkamp 2,23820,"Pronstorf, ",POINT (53.9596404 10.5011364),045531239,< 100,,,,,,,,,
Pferdepension/Zuchtbetrieb Manfred Walkemeyer,Große Straße 9a,38116,Braunschweig/Lehndorf,POINT (52.2697778 10.487900842180585),053154882,< 500,,< 50,,,,,,,
Gutsverwaltung Schönau,Schönauer Weg 24b,21465,Reinbeck,,041042463,< 500,,,,,,,,,
Wilhelm Eickenjäger,Landstraße 10,31717,Nordsehl,POINT (52.3501136 9.1839921),,,,,,,,,,,
Land- und Forstwirtschaft Komturei Lietzen GmbH + Co. KG,Lietzen Nord 38,15306,Lietzen,POINT (52.481724 14.3370547),0334704960,,,,,,,,,,
Barnimer Agrargesellschaft mbH,Hauptstraße 42,16356,Werneuchen ,POINT (52.68022795 13.740438796490213),,,,,,,,,,,
Dirk Mayland-Quellhorst,Höfen 13,31600,Uchte,POINT (52.4744253 8.9091839),,< 500,,< 50,< 50,< 5,,,,,
Behring KG,Gadesbünden 25,31622,Heemsen,POINT (52.712161 9.2779194),05024944191,< 500,,< 50,,,,,,,
Betriebsgemeinschaft Rohwedder GbR,Hasenwinkel 8,16928,Pritzwalk,POINT (53.1844257 12.1572435),03395307718,< 500,,< 50,< 50,,,,,,
Märkische Agrargenossenschaft e.G.,Loickstraße 7d,15749,Mittenwalde,POINT (52.2651819 13.5319001),033764-20328,,,,,,,,,,
Hof Hanisch,Altenbücker Straße 4,27333,Bücken,POINT (52.77387385 9.130756781665982),04251-2630,< 100,,,,< 5,,,< 5,,
Bentloh KG,Cammannstraße 10,29348,Schwarnhorst,,05142416808,< 500,,< 100,< 50,,,,,,
Landwirtschaftsbetrieb Eggers,Dorfstraße 12a,22145,Braak,POINT (53.6079949 10.24746025),040-66851166,< 500,,,,,,,,,
Landwirtschaftsmeister Wilfried Heine,Zu den Höfen 1,31691,Seggebruch,POINT (52.3052974 9.104647215571323),05724-98498,,,,,,,,,,
Jörg Lange,Bickbeeren 5,32469,Petershagen,POINT (52.4343055 9.033358289723786),0570595900,,,,,,,,,,
Bartels-Hoff KG,Anderten 6,31622,Heemsen,POINT (52.7515179 9.3077441),050241270,,,,,,,,,,
Hillmann-Köster,Im Dorfe 10,27305,Süstedt,POINT (52.84499085 8.941276780447541),042522582,< 500,,,,,,,,,
Hof Schulz,Stadorf 8,29593,Schwienau,POINT (52.9919484 10.3920589),05822959623,< 500,,,,,,,,,
Dettmer,Dorfringstraße 1,27336,Häuslingen,POINT (52.8048657 9.3843569),0516591001,< 100,,< 50,< 50,,,,,,
Cordt-Günther Schulz,Amselweg 10,29571,Rosche,POINT (52.9875516 10.7454412),058031299,,,,,,,,,,
Roland Studt,Eutiner Landstraße 14,23827,Albrechtshof/Krems II,,,,,,,,,,,,
Martin Gade,Ziegeleistraße 6,29585,Jelmstorf,POINT (53.1015307 10.5252511),05821-2284,,,,,,,,,,
Hartje,Gut Hoope 1,28857,Syke,POINT (52.8880693 8.8280851),,,,,,,,,,,
Agrargenossenschaft Buchholz eG,Zum Kromberg 1,99734,Nordhausen ,POINT (51.54074905 10.864799873628751),03631-898225,,,,,,,,,,
Teendorf Agrar GmbH &amp; Co. KG,Teendorf 2,29582,Hanstedt,POINT (53.0387267 10.3908147),058221885,< 500,,,,,,,,,
Landwirtschaftsbetrieb Strampe,An den Wiesen 3,29576,Barum,POINT (53.0531426 10.5165083),05806265,< 500,,,,,,,,,
Volker Püffel,Dorfstraße 12,29571,Rosche ,POINT (52.9481897 10.808601454351408),05803288,,,,,,,,,,
Björn Krüger,Untere Dorfstraße 4,29581,Gerdau-Holthusen II,POINT (52.9564163 10.4305149),05808-231,,,,,,,,,,
Denecke,Mühlenstraße 2,29593,Schwienau-Linden,POINT (52.9838407 10.372362),058221281,,,,,,,,,,
Henrik Schulte,Allenbostel Nr. 3,29582,Hanstedt II,,05822-2421,,,,,,,,,,
Warnecke,Am Weinberg 2,29559,Wrestedt,POINT (52.9022321 10.5673562),058024710,,,,,,,,,,
Peter Kruse,Kampstraße 27,31618,Liebenau,POINT (52.6138554 9.084469),05023-2253,,,,,,,,,,
Hof Burmester,Hauptstraße 5,29593,Melzingen,POINT (53.0081563 10.443783),05822947278,,,,,,,,,,
Alvermann,Rackergang 4,29576,Barum,POINT (53.0468981 10.5398596),05806223,,,,,,,,,,
Schulz Immenhof,Immenhof 1,29593,Schwienau,POINT (52.991053 10.4751956),058178844,,,,,,,,,,
Alix Mensching-Buhr,Hanstedter Straße 1,29525,Uelzen,POINT (52.95813675 10.662200426463631),05804619,,,,,,,,,,
Rathing GbR,Dorfstraße 4,29565,Wriedel/Brockhöfe,POINT (53.0153111 10.2842385),05829988856,,,,,,,,,,
Wilhelm Sieling,Osterleese 2,31633,Leese,POINT (52.5060287 9.1240133),057617993,,,,,,,,,,
Hof Meyer,Göhrdestraße 3,29591,Römstedt,POINT (53.0952509 10.6496947),0582143875,,,,,,,,,,
Gutsverwaltung Helmstorf,Gut Helmstorf,24321,Helmstorf,POINT (54.287965799999995 10.5947339267042),04381-4917,,,,,,,,,,
"G.-W. Timm, Landwirtschaft",Schloßstraße 1,29525,Uelzen/Holdenstedt,POINT (52.9189992 10.5247205),058114179,,,,,,,,,,
"Wolf-Alexander Hohls, Landwirtschaft, Gemüsebau",Dömitzerstraße 13,29571,Schwemlitz,POINT (53.0289463 10.7642265),05803430,,,,,,,,,,
Hof Bösch,Hörne Ost 28,21730,Balje,POINT (53.819734 9.097489),04753841050,< 500,,< 50,,,,,,,
Hacke-Müller GbR,Tatern Nr. 5,29525,Uelzen,POINT (52.9726668 10.6220949),058142128,,,,,,,,,,
Waisagrund Agrar GmbH Crock,Brünner Straße 16,98673,Crock,POINT (50.4520897 10.8803701),0368568790,,,,,,,,,,
KLEPO-agrar GbR,Dorfstraße 17,31683,Obernkirchen,POINT (52.283963299999996 9.116877897683285),05724914198,,,,,,,,,,
Hof Liedtke,Dorfstraße Schönhagen 17,16928,Pritzwalk,POINT (53.1674218 12.132686106243154),03395301231,,,,,,,,,,
"Elbers, Landwirtschaft",OT Wessenstedt 7,29587,Natendorf,,05822-2510,< 100,,,,,,,,,
"Schulz, Sina",Alt Prielip 10,29571,Rosche,POINT (52.9843104 10.7604981),05803332,,,,,,,,,,
Diers-Möller GbR,Weserstraße 16,31840,Hessisch Oldendorf,POINT (52.1667335 9.247586912984154),05152-51322,< 500,,,,,,,,,
Harro Heitmann,An der Kirche 1,21493,Sahms,POINT (53.52486655 10.534052952066208),04543808606,,,,,,,,,,
Holger Burmester,Dorfstraße 18,21516,Tramm,POINT (53.564136 10.6124139),041567427,< 100,,,,,,,,,
Hof Römsmoor,Römsmoorweg 2,22885,Barsbüttel-Stellau,POINT (53.5844032 10.2567469),04067561389,,,,,,,,,,
"Franz-Otto Berling, Landwirtschaft",Alte Dorfstraße 14,21493,Grove,POINT (53.5284168 10.4928813),0415181620,,,,,,,,,,
Michael Schulz,Königsstraße 20,21527,Kollow,POINT (53.463869700000004 10.461959),04151833401,,,,,,,,,,
Carsten Buhk,Buchhörn 27,21481,Schnakenbek,POINT (53.3971606 10.4999257),041533102,,,,,,,,,,
Christian Willers,Hauptstraße 25,21493,Basthorst,POINT (53.5752175 10.4724526),04159264,,,,,,,,,,
Steffen,Ringstraße 9,21493,Möhnsen,POINT (53.561297 10.46708),,,,,,,,,,,
Thomas Prien,Kreisstraße 6,24637,Schillsdorf,POINT (54.1059116 10.1322445),04394-992864,< 500,,< 100,,,,,,,
"Graf, Bruchtorf",Dorfstraße 14,29585,Jelmstorf,POINT (53.1081688 10.5427173),058211789,< 500,,< 50,< 50,,,,,,
Hof Rülau,Hof Rülau 1,21493,Grabau,POINT (53.4973506 10.5017639),041512304,< 500,,,< 50,,,,,,
Heins,Dorfstraße 3c,23881,Breitenfelde,POINT (53.6239033 10.6575282),045422812,,,,,,,,,,
Bernhöft,Dorfstraße 3,21493,Fuhlenhagen,POINT (53.5713297 10.5282866),041567649,,,,,,,,,,
Erdbeerhof Nüstedt,Döhren 3,27211,Bassum,POINT (52.89534845 8.730543296021068),04249349, < 50,,,,< 50,,< 50,,,
Landwirt Dieter Jenrich,Wickensen Hof 1,37632,Eschershausen,POINT (51.90885 9.6734003),05534-941006,< 500,,< 50,,,,,,,
Nordsaat Hülsenhain ldw. Betriebsges. mbH,Gut Hülsenhain 1,24369,Waabs,,04352-1633,,,,,,,,,,
Landwirtschaftsbetrieb Wiese,Gleschendorf 4,24321,Tröndel,POINT (54.3451912 10.4984345),,< 500,,,,,,,,,
Klostergut Hilwartshausen,Hilwartshausen,34346,Hannoversch Münden,POINT (51.4467846 9.6387882),0554173317,,,,,,,,,,
Landwirtschaftsbetrieb Friedhelm Knuth,Helderbachstraße 10,34587,Felsberg,POINT (51.1468758 9.457622),05662-6465,< 100,,,,,,,,,
Hansjörg Schütt,Dorfstraße 7,21516,Bartelsdorf,POINT (53.476107 10.5428264),041513491,,,,,,,,,,
Niklas Wulff,Büchener Weg 1,21514,Fitzen,POINT (53.4931775 10.6462214),04155-2262,< 100,,< 100,,,,,,,
"Reinhard Schneider, Antrifttal",Am Berg 1,36326,Antrifttal,POINT (50.825418299999995 9.173229751239074),06692918237,,,,,,,,,,
Lohmeyer,Stendern 5,27333,Bücken,POINT (52.7741884 9.171660150000001),,< 500,,< 50,,< 50,,< 50,< 5,,
Berndt Tietjen,Westerende 7,21714,Hammah,POINT (53.6210566 9.3544056),041441643,,,,,,,,,,
Rudolf Bormann,An der Wabe 1,38173,Sickte,POINT (52.2119414 10.6336613),05305-415,< 500,,,,,,,,,
Karl-Heinrich und Andreas Füg GbR,Aussiedlerhof 3,36367,Wartenberg/Landenhausen,POINT (50.6111237 9.4721472),06648911318,< 100,,< 50,,,,,,,
Hof Kleemeyer GbR,Apelsdamm 82,28844,Weyhe,POINT (52.97411875 8.892075351220203),042031515,< 500,,< 50,,,,,,,
Milchhof Kouwert,Am Anger 7,04860,Torgau/,POINT (51.56991845 12.949656167105596),03421-713641,< 100,,< 100,,,,,,,
Reinhardt GbR,Lange Straße 14,04758,Hof/,POINT (51.6684932 7.7595527),03526882528,,,,,,,,,,
LWB Andreas Gäbler,Söllichauerstraße 30,04849,Laußig/,POINT (51.6217719 12.65788583997158),,,,,,,,,,,
